title	originalTitle	sortingTitle	summary	platformList	myRating	criticsScore	developers	genres	publishers	releaseDate	originalReleaseDate	themes	gameMins	lastPlayed	tags	dlcs	isHidden	osCompatibility	backgroundImage	squareIcon	verticalCover
Bio Menace	Bio Menace	Bio Menace	Intelligence reports indicate that a man calling himself Dr. Mangle is responsible for the mutants and the destruction of Metro. You will have to battle your way through levels packed with evil mutants and robotic guards to finally infiltrate Mangle's fortress and defeat him. You think to yourself that this will be the most dangerous mission of your life.\n\nSnake Logan is a weapons expert, and uses several throughout the game, including a high-powered machine gun and grenades.	GOG			Apogee Software	"Platform	Puzzle"	"Apogee Software	Wiz Technology"	1993-08-03	1993-08-03	"Action	Science fiction"					True	"Linux	macOS	Windows"	https://images.gog.com/1268f8fcd673cc911a83597e7583adf6deaae6dd6e477386b2fc54d6e8d51cfc_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6e9cfdab547bbe7f9931f13f0ff47a91a7e91aa0df384882aef36920dea9ee57_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/88d23f65d34a89831ea7f66212b7cf127a4eb335faff084d908e423f181d038a_glx_vertical_cover.webp?namespace=gamesdb
BioShock Remastered	BioShock Remastered	BioShock	BioShock is a shooter unlike any other, loaded with unique weapons and tactics. Complete with an arsenal of revolvers, shotguns, and grenade launchers, players will be forced to genetically modify their DNA to become an even deadlier weapon.	"Epic Games Store	GOG	Steam"			Blind Squirrel Games	"Adventure	Role-playing (RPG)"	"2K Games	Feral Interactive"	2016-09-15	2016-09-15	Action	436		Ended		False	"macOS	Windows"	https://images.gog.com/fe457fa38ece7c93436c6aa9f2ca789afdb9df872eb5bb8b8eb47e918a222285_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/5148b840cdb4a8c36ace0be14875e0af17ff0d69269524afd5a528c13bbcb979_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/5148b840cdb4a8c36ace0be14875e0af17ff0d69269524afd5a528c13bbcb979_glx_vertical_cover.webp?namespace=gamesdb
BioShock	BioShock	BioShock	BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.	"GOG	Humble Bundle	Steam"	4	93	"2K Australia	2K Boston"	"Adventure	Puzzle	Role-playing (RPG)	Shooter"	2K Games	2007-08-21	2007-08-21	"Action	Horror	Open world	Science fiction	Stealth"	391		Ended		False	"macOS	Windows"	https://images.gog.com/cca07f661b51e7a6493f63313c513e51a268ef5d43ac3cb73d68ed36e80490e9_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/619cc935bbbd09ee6faf681e62b8f7310421f4d517175737f200805d991b4b7c_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/30cfd064a36dd90f81aa24f5aa36e3e65f5fd6f9fe4fc3860718ac142f2105d4_glx_vertical_cover.webp?namespace=gamesdb
BioShock 2	BioShock 2	BioShock 2	BioShock 2 is the second game of the BioShock series and the sequel to BioShock. It continues the grand storyline of the underwater metropolis Rapture. BioShock 2 capitalizes and improves upon the high-quality effects, unique gameplay elements, and immersive atmosphere that defined the first game. It explores more brutal gameplay than its predecessor, with new enemies, weapons, Plasmids, and Gene Tonics.	"GOG	Steam"	4	87	2K Marin	"Adventure	Puzzle	Role-playing (RPG)	Shooter"	"2K Games	D3 Publisher	Feral Interactive	Take-Two Interactive"	2010-02-09	2010-02-09	"Action	Open world	Science fiction	Thriller"	62	2015-05-31 20:49:34	Ended		False	"macOS	Windows"	https://images.gog.com/b1ba7d737245c994a6b50cb2a1d140e7642d3089006d7b8102f055136b3615a6_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/3fc9c005e1c43424451055bd78e571b7dcbd90c0a8f771009bd6f40de274f735_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7fd010b23d36a8bb086ff4f2b6a321308efc2914628a01b2ced3e5309458612e_glx_vertical_cover.webp?namespace=gamesdb
BioShock 2 Remastered	BioShock 2 Remastered	BioShock 2 Remastered	In BioShock 2, you step into the boots of the most iconic denizen of Rapture, the Big Daddy, as you explore through the decrepit and beautiful fallen city, chasing an unseen foe in search of answers and your own survival.	"Epic Games Store	GOG	Steam"			"2K Australia	2K Marin"	Role-playing (RPG)	2K Games	2016-09-15	2016-09-15	Action	389		Ended		False	Windows	https://images.gog.com/f96b1900ca6b38158276669e0179e9c346c01956f5a49667341fae15beced11a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/0fe04d361c05029d708725ea138acd5b1decb7e096d7b2283eeb717e6e3d8a2a_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/0fe04d361c05029d708725ea138acd5b1decb7e096d7b2283eeb717e6e3d8a2a_glx_vertical_cover.webp?namespace=gamesdb
BioShock™ 2 Remastered - Amazon Prime	BioShock™ 2 Remastered - Amazon Prime	BioShock 2 Remastered Amazon Prime	"<p class=""module"">BioShock™ 2 Classic is included with your BioShock™ 2 Remastered purchase\n\n<b>Minerva's Den Remastered DLC</b> is included in BioShock™ 2 Remastered\n</p>\n\n\n\n\nBioShock 2 provides players with the perfect blend of explosive first-person shooter combat and compelling award-winning storytelling. The halls of Rapture once again echo with sins of the past. Along the Atlantic coastline, a monster has been snatching little girls and bringing them back to the undersea city of Rapture. Players step into the boots of the most iconic denizen of Rapture, the Big Daddy, as they travel through the decrepit and beautiful fallen city, chasing an unseen foe in search of answers and their own survival.<h4>Features:</h4><ul class=""bb_ul""><li class=""description__cool-point"">High Resolution Textures, Models and Interface Art\n\n\n</li><li class=""description__cool-point"">4K Resolution Support\n\n\n</li><li class=""description__cool-point"">The Protector Trials\n\n\n<ul class=""bb_ul""><li class=""description__cool-point"">You receive the call: Tenenbaum desperately needs you to steal as much ADAM as possible, to help thwart Sofia Lamb's insane plan. Enter the Protector Trials: frantic combat challenges designed to push your mastery of weapons and Plasmids to the limit. The goal in each Trial is simple: get your Little Sister to an ADAM-rich corpse and keep her safe while she gathers precious ADAM.  Opposition mounts as your Little Sister nears her goal -- will you survive the onslaught?\n\n\n\n\n\nEach Trial features three unique weapon and Plasmid load-outs, keeping the challenge fresh, as well as a fourth bonus load-out the player receives when all previous load-outs are completed. </li></ul></li></ul>\n\n\n\n\n<b>BioShock 2: Minerva's Den Remastered</b>\n\n\nMinerva's Den offers a brand-new, self-contained BioShock story, presenting a side of Rapture you've never seen before. Seek out the tools you'll need to unlock new goals and spaces in the order you choose. Face Rapture's full range of opposition as you increase in power---a new challenge is always right around the corner.\n\n\n\nExpand your combat abilities with the experimental Ion Laser and chaotic Gravity Well Plasmid, unique to Minerva's Den. Face off against the new Lancer Big Daddy, the most advanced Protector that Rapture ever produced. Explore every shadowy corner of Minerva's Den, unraveling the mysterious past of The Thinker's inventor, and the dark secrets hidden within the unfeeling, o"	GOG						2025-06-02	2025-06-02						False				
BioShock Infinite Complete Edition	BioShock Infinite Complete Edition	Bioshock 3	BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.	"Epic Games Store	GOG	Steam"		93	Irrational Games	"Adventure	Shooter"	2K Games	2013-03-25	2013-03-25	"Action	Drama	Fantasy	Historical	Horror	Science fiction"	693		Ended		False	"Linux	macOS	Windows"	https://images.gog.com/1712b2e8feb95e9e8237299d08168c2ad9aa1c7620b3463367260b0403faab6a_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/774616f1d941ceb13b598657f1641caa2891b9c90f06ad5953ec9a688382bf87_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/7f5f0b28a2d93580010dec745b655bbfa4185ac90049895baa4fce7fc12f2fdd_glx_vertical_cover.webp?namespace=gamesdb
BioShock Infinite Complete Edition - Amazon Prime	BioShock Infinite Complete Edition - Amazon Prime	BioShock Infinite Complete Edition Amazon Prime	product_description_1680121572\n\nproduct_feature_1680121572	GOG						2025-06-02	2025-06-02						False				
BioShock™ Remastered - Amazon Prime	BioShock™ Remastered - Amazon Prime	BioShock Remastered Amazon Prime	"<p class=""module"">BioShock™ Classic is included with your BioShock™ Remastered purchase</p>\n\n\n\nBioShock is a shooter unlike any you've ever played, loaded with weapons and tactics never seen. You'll have a complete arsenal at your disposal from simple revolvers to grenade launchers and chemical throwers, but you'll also be forced to genetically modify your DNA to create an even more deadly weapon: you.\n\n<h4>Features:</h4><ul class=""bb_ul""><li class=""description__cool-point"">Museum of Orphaned Concepts\n\n\n</li><li class=""description__cool-point"">Challenge Rooms\n\n\n</li><li class=""description__cool-point"">Director’s Commentary: Imagining BioShock, featuring Ken Levine and Shawn Robertson\n\n\n</li><li class=""description__cool-point"">Achievements\n\n\n</li><li class=""description__cool-point"">Full Controller Support\n\n\n</li><li class=""description__cool-point"">High Resolution Textures, Models and Interface\n\n\n</li><li class=""description__cool-point"">4K Resolution Support</li></ul>\n\n\nproduct_feature_1269268081"	GOG						2025-06-02	2025-06-02						False				
Bit Evolution	Bit Evolution	Bit Evolution	BiT Evolution is a journey into the past that draws inspiration from all of your favorite titles from the 70s, 80s, and 90s.	Steam			Major Games	"Adventure	Indie	Platform"	"Burnout Game Ventures	Major Games"	2015-06-09	2015-06-09	Action	10	2016-12-18 23:03:42	LowPriority		False	"macOS	Windows"	https://images.gog.com/491bf2cc4ba5d2f712bf8b290becf1b25847040204dc98961a31c0acafcb7fc8_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/eda635969607a10a897ccf6a69bc1a278f0d44c6d786001111325e64913c32d4_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/9c5907485fcd8d6df310acae747a0b907cd07739624816568e67719294ad9dfb_glx_vertical_cover.webp?namespace=gamesdb
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien	BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien	BITTRIP Presents Runner2 Future Legend of Rhythm Alien	Runner2 is the sequel to the critically acclaimed and IGF award winning BIT.TRIP RUNNER.,In the style of the BIT.TRIP series, Runner2 is a rhythm-music platforming game.,Players will run through fantastic environments, using brand new moves, to brand new soundtracks as they run, jump, slide, kick, and soar toward the goal of tracking down the Timbletot and thwarting his evil plans to destroy not only our world, but every world there is.	Humble Bundle				"Arcade	Indie	Music	Platform	Puzzle"		2013-02-26	2013-02-26	"Action	Comedy	Fantasy	Kids	Science fiction"					False	"macOS	Windows"			
Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien	Bit.Trip Presents... Runner2: Future Legend of Rhythm Alien	BitTrip Presents Runner2 Future Legend of Rhythm Alien	Runner2 is the sequel to the critically acclaimed and IGF award winning BIT.TRIP RUNNER.,In the style of the BIT.TRIP series, Runner2 is a rhythm-music platforming game.,Players will run through fantastic environments, using brand new moves, to brand new soundtracks as they run, jump, slide, kick, and soar toward the goal of tracking down the Timbletot and thwarting his evil plans to destroy not only our world, but every world there is.	Steam		78	Gaijin Games	Platform	"Aksys Games	Gaijin Games"	2013-02-26	2013-02-26	"Action	Comedy	Fantasy	Kids	Science fiction"	8	2022-07-23 15:31:13	LowPriority		False	"Linux	macOS	Windows"	https://images.gog.com/13e81ac77dc1cf3d85d106264107a5e6e4bdd9eae8a8e14aea1d5ee8266f277c_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/6cc9d7ce65763f15b633b0d16ac93cdf49a649bf34079b420aaee9c69f319396_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/46edb42383194f843a5671bece720a36377b9b909721e82528860a08e2c5bd53_glx_vertical_cover.webp?namespace=gamesdb
Black Book	Black Book	Black Book	A fusion of card-based RPGs and Adventure games, “Black Book” is a haunting tale of a young sorceress, who gave her life to serve the dark forces. Dive into the cold, yet alluring world of folk tales - and uncover the secrets that hide in the darkness.	Epic Games Store			Morteshka	"Adventure	Card & Board Game	Indie	Role-playing (RPG)	Strategy	Turn-based strategy (TBS)"	HypeTrain Digital	2021-08-10	2021-08-10	"Action	Fantasy	Historical	Horror"			LowPriority		False	"macOS	Windows"	https://images.gog.com/8bb19e7cfaab52b61fc0688ff5883d91056d0a16d666a47f611f5744b502a8a1_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/f21199637ce74e2638cc189db4c3b39909003451f7d7d6c4030083c6e9e181b3_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/d58f6736a36cb53c35f684272b4a072625812e8c886572a946b6a58fad6848de_glx_vertical_cover.webp?namespace=gamesdb
Black Desert	Black Desert	Black Desert	Black Desert Online is a large scale sandbox-oriented MMORPG that provides a variety of unique experiences with spectacular action and battle. Expect strategy-based castle sieges and sophisticated simulation content such as trade, NPC-hiring and real estate management. Black Desert Online boasts the deepest character customization system of any MMORPG on the market today.\n\nExperience fast-paced, action-packed combat, hunt monsters and huge bosses, fight with friends in a guild to siege nodes and region castles, train your life skills such as fishing, trading, crafting, cooking, and much more.\n\nPlayers will enjoy jaw-dropping graphics, intuitive skill-based combat, and an immersive story encased in our expansive world that’s just waiting to be explored. Accompanied by a Black Spirit, a companion whose destiny is intertwined with their own, players will discover the secret of the Black Stones and the history of their corrupting effects.	Steam	3	75	Pearl Abyss	"Adventure	Hack and slash/Beat 'em up	Role-playing (RPG)"	Pearl Abyss	2015-07-14	2015-07-14	"Action	Fantasy	Historical	Open world	Sandbox"	694	2021-06-02 12:48:25	LowPriority		False	Windows	https://images.gog.com/82180a75fec84fbdb97a5b26ad0cd2f2cbada58128597f52f11163beac33bfeb_glx_bg_top_padding_7.webp?namespace=gamesdb	https://images.gog.com/090fe6e33b75795bb0972f075098ed2ac7f934cd428cedeff25009541f6a37e9_glx_square_icon_v2.webp?namespace=gamesdb	https://images.gog.com/6f7a1c5ba69951b8650562a1cc9a6d50433402e323d192b15f3f03b0837b1bf4_glx_vertical_cover.webp?namespace=gamesdb
